item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM00089,ORD00494,PROD0277,2,52937,11
ITEM00090,ORD00453,PROD0158,3,27214,33
ITEM00091,ORD00160,PROD0156,-3,206,66
ITEM00092,ORD00140,PROD0177,3,30949,68
ITEM00093,ORD00009,PROD0353,4,49710,61
ITEM00094,ORD00307,PROD0005,4,52495,37
ITEM00095,ORD00612,PROD0119,1,36127,47
ITEM00096,ORD00194,PROD0211,5,28846,50
ITEM00097,ORD00256,PROD0084,4,54491,48
ITEM00098,ORD00226,PROD0135,1,27871,80
ITEM00099,ORD00246,PROD0265,5,53125,88
ITEM00100,ORD00279,PROD0146,5,53206,34
ITEM00101,ORD00423,PROD0097,1,12154,17
ITEM00102,ORD00297,PROD0057,4,40683,57
ITEM00103,ORD00279,PROD0359,5,32443,24
ITEM00104,ORD00329,PROD0010,2,3452,68
ITEM00105,ORD00023,PROD0096,1,18688,34
ITEM00106,ORD00129,PROD0367,4,47851,1
ITEM00107,ORD00239,PROD0047,2,1165,63
ITEM00108,ORD00223,PROD0176,4,20619,100
ITEM00109,ORD00511,PROD0191,4,45874,4
ITEM00110,ORD00339,PROD0042,2,3872,34
ITEM00111,ORD00402,PROD0037,5,31011,23
ITEM00112,ORD00197,PROD0459,3,53759,48
ITEM00113,ORD00013,PROD0063,-5,25418,98
ITEM00114,ORD00454,PROD0127,1,13253,58
ITEM00115,ORD00097,PROD0267,2,31187,49
ITEM00116,ORD00698,PROD0493,3,21372,20
ITEM00117,ORD00645,PROD0373,1,49006,70
ITEM00118,ORD00534,PROD0063,3,31737,81
ITEM00119,ORD00306,PROD0102,3,58364,6
ITEM00120,ORD00683,PROD0112,1,15664,81
ITEM00121,ORD00445,PROD0167,1,11168,35
ITEM00122,ORD00599,PROD0062,4,51917,31
ITEM00123,ORD00010,PROD0497,1,38281,100
ITEM00124,ORD00487,PROD0353,5,10357,47
ITEM00125,ORD00092,PROD0128,2,32962,11
ITEM00126,ORD00634,PROD0174,1,4117,45
ITEM00127,ORD00661,PROD0079,5,52069,13
ITEM00128,ORD00129,PROD0250,2,20957,71
ITEM00129,ORD00661,PROD0388,3,52990,56
ITEM00130,ORD00198,PROD0011,4,23672,92
ITEM00131,ORD00138,PROD0129,1,32004,90
ITEM00132,ORD00449,PROD0287,3,35768,89
ITEM00133,ORD00502,PROD0098,5,12430,69
ITEM00134,ORD00357,PROD0166,4,18243,76
ITEM00135,ORD00568,PROD0083,1,35008,19
ITEM00136,ORD00461,PROD0152,3,35694,46
ITEM00137,ORD00465,PROD0001,5,25040,93
ITEM00138,ORD00190,PROD0453,1,40814,46
ITEM00139,ORD00636,PROD0123,3,47451,8
ITEM00140,ORD00675,PROD0496,5,53877,49
ITEM00141,ORD00195,PROD0269,4,50383,70
ITEM00142,ORD00158,PROD0314,3,21341,52
ITEM00143,ORD00657,PROD0165,1,6508,66
ITEM00144,ORD00675,PROD0035,1,54935,16
ITEM00145,ORD00183,PROD0448,1,13443,13
ITEM00146,ORD00498,PROD0099,1,2285,73
ITEM00147,ORD00658,PROD0429,4,43317,62
ITEM00148,ORD00539,PROD0320,5,16973,6
ITEM00149,ORD00376,PROD0114,5,47244,9
ITEM00150,ORD00014,PROD0477,2,43175,62
ITEM00151,ORD00082,PROD0240,1,23853,71
ITEM00152,ORD00426,PROD0421,3,52251,90
ITEM00153,ORD00060,PROD0422,5,17620,67
ITEM00154,ORD00042,PROD0376,1,54886,38
ITEM00155,ORD00080,PROD0484,2,34244,12
ITEM00156,ORD00104,PROD0372,2,35042,49
ITEM00157,ORD00195,PROD0099,5,43249,31
ITEM00158,ORD00584,PROD0321,2,36796,95
ITEM00159,ORD00572,PROD0213,1,50419,81
ITEM00160,ORD00591,PROD0184,4,46242,85
ITEM00161,ORD00438,PROD0453,1,11132,23
ITEM00162,ORD00564,PROD0206,5,22319,84
ITEM00163,ORD00162,PROD0274,5,29233,45
ITEM00164,ORD00323,PROD0282,3,55568,47
ITEM00165,ORD00423,PROD0392,4,54342,92
ITEM00166,ORD00332,PROD0312,2,37106,69
ITEM00167,ORD00220,PROD0193,5,48996,32
ITEM00168,ORD00369,PROD0493,4,29527,50
ITEM00169,ORD00001,PROD0372,1,18843,76
ITEM00170,ORD00017,PROD0266,2,58548,38
ITEM00171,ORD00007,PROD0154,2,14278,40
ITEM00172,ORD00023,PROD0396,3,36484,65
ITEM00173,ORD00570,PROD0293,5,10339,12
ITEM00174,ORD00039,PROD0236,3,10430,17
ITEM00175,ORD00272,PROD0188,5,16574,29
ITEM00176,ORD00263,PROD0416,3,6223,73
ITEM00177,ORD00410,PROD0292,2,48320,9
ITEM00178,ORD00333,PROD0406,4,11531,62
ITEM00179,ORD00591,PROD0420,1,39209,82
ITEM00180,ORD00308,PROD0020,5,25205,10
ITEM00181,ORD00058,PROD0472,3,23001,55
ITEM00182,ORD00427,PROD0477,1,57202,98
ITEM00183,ORD00233,PROD0383,5,949,81
ITEM00184,ORD00648,PROD0196,1,20174,67
ITEM00185,ORD00043,PROD0164,5,37222,19
ITEM00186,ORD00335,PROD0258,2,10239,6
ITEM00187,ORD00690,PROD0375,4,29403,96
ITEM00188,ORD00610,PROD0295,5,6103,28
ITEM00189,ORD00443,PROD0149,4,9900,16
ITEM00190,ORD00345,PROD0043,4,37649,95
ITEM00191,ORD00051,PROD0281,4,17406,10
ITEM00192,ORD00409,PROD0257,4,50913,89
ITEM00193,ORD00134,PROD0391,2,31717,71
ITEM00194,ORD00203,PROD0250,4,42945,73
ITEM00195,ORD00201,PROD0288,5,48412,67
ITEM00196,ORD00253,PROD0125,1,17649,99
ITEM00197,ORD00441,PROD0166,5,6071,14
ITEM00198,ORD00688,PROD0212,4,24138,44
ITEM00199,ORD00196,PROD0165,3,39120,83
ITEM00200,ORD00025,PROD0395,3,11292,44
ITEM00201,ORD00632,PROD0421,4,41040,18
ITEM00202,ORD00452,PROD0023,2,13286,87
ITEM00203,ORD00383,PROD0080,1,7564,94
ITEM00204,ORD00056,PROD0125,5,9878,36
ITEM00205,ORD00015,PROD0176,1,20196,57
ITEM00206,ORD00483,PROD0012,3,13897,94
ITEM00207,ORD00551,PROD0109,2,36010,66
ITEM00208,ORD00265,PROD0281,4,41031,93
ITEM00209,ORD00145,PROD0356,1,24881,74
ITEM00210,ORD00680,PROD0270,1,16941,21
ITEM00211,ORD00062,PROD0146,2,51920,89
ITEM00212,ORD00633,PROD0139,1,30671,83
ITEM00213,ORD00009,PROD0035,4,43478,34
ITEM00214,ORD00679,PROD0437,3,56841,13
ITEM00215,ORD00020,PROD0150,4,15349,48
ITEM00216,ORD00521,PROD0364,1,59436,40
ITEM00217,ORD00497,PROD0444,5,35036,11
ITEM00218,ORD00191,PROD0102,-3,30214,71
ITEM00219,ORD00023,PROD0021,2,34895,39
ITEM00220,ORD00342,PROD0251,4,48984,20
ITEM00221,ORD00019,PROD0178,3,23490,80
ITEM00222,ORD00310,PROD0121,5,18279,7
ITEM00223,ORD00641,PROD0132,4,58553,3
ITEM00224,ORD00569,PROD0486,3,14983,19
ITEM00225,ORD00350,PROD0460,4,43252,17
ITEM00226,ORD00090,PROD0374,4,34325,86
ITEM00227,ORD00628,PROD0447,2,27550,30
ITEM00228,ORD00587,PROD0079,4,20672,77
ITEM00229,ORD00338,PROD0230,5,8835,26
ITEM00230,ORD00669,PROD0071,5,35678,87
ITEM00231,ORD00208,PROD0442,2,20450,88
ITEM00232,ORD00537,PROD0466,2,28384,98
ITEM00233,ORD00149,PROD0336,5,10557,40
ITEM00234,ORD00070,PROD0286,5,47349,15
ITEM00235,ORD00189,PROD0163,2,47849,3
ITEM00236,ORD00327,PROD0451,-3,27151,38
ITEM00237,ORD00454,PROD0382,3,10158,99
ITEM00238,ORD00193,PROD0055,2,12307,3
ITEM00239,ORD00627,PROD0316,3,39888,72
ITEM00240,ORD00628,PROD0119,5,15416,29
ITEM00241,ORD00027,PROD0184,1,45298,99
ITEM00242,ORD00489,PROD0069,5,55652,77
ITEM00243,ORD00481,PROD0365,3,12257,49
ITEM00244,ORD00504,PROD0243,2,10933,24
ITEM00245,ORD00232,PROD0017,4,50304,1
ITEM00246,ORD00277,PROD0487,4,14785,95
ITEM00247,ORD00688,PROD0104,2,4534,22
ITEM00248,ORD00450,PROD0444,5,32308,88
ITEM00249,ORD00333,PROD0444,4,58368,31
ITEM00250,ORD00438,PROD0208,1,40041,94
ITEM00251,ORD00390,PROD0369,3,26031,78
ITEM00252,ORD00586,PROD0305,5,34621,82
ITEM00253,ORD00040,PROD0267,1,29796,58
ITEM00254,ORD00044,PROD0450,2,34193,68
ITEM00255,ORD00406,PROD0377,1,36749,49
ITEM00256,ORD00529,PROD0392,1,12642,37
ITEM00257,ORD00451,PROD0204,3,50903,36
ITEM00258,ORD00473,PROD0086,4,19495,78
ITEM00259,ORD00056,PROD0354,5,59423,18
ITEM00260,ORD00475,PROD0425,4,6127,92
ITEM00261,ORD00513,PROD0058,2,51234,74
ITEM00262,ORD00560,PROD0070,-1,27303,41
ITEM00263,ORD00462,PROD0013,2,29932,75
ITEM00264,ORD00207,PROD0452,4,6110,32
ITEM00265,ORD00332,PROD0355,-1,47279,93
ITEM00266,ORD00127,PROD0047,1,46483,57
ITEM00267,ORD00650,PROD0186,1,34528,90
ITEM00268,ORD00394,PROD0373,-3,40312,20
ITEM00269,ORD00388,PROD0282,4,3077,98
ITEM00270,ORD00175,PROD0468,3,37260,84
ITEM00271,ORD00154,PROD0084,2,11922,98
ITEM00272,ORD00053,PROD0215,3,20484,93
ITEM00273,ORD00457,PROD0148,2,7904,16
ITEM00274,ORD00208,PROD0002,5,50360,32
ITEM00275,ORD00013,PROD0235,4,56260,63
ITEM00276,ORD00557,PROD0414,1,40044,63
ITEM00277,ORD00244,PROD0112,5,43419,60
ITEM00278,ORD00465,PROD0210,4,5403,76
ITEM00279,ORD00615,PROD0004,2,58013,70
ITEM00280,ORD00285,PROD0318,5,53947,26
ITEM00281,ORD00051,PROD0095,2,3808,83
ITEM00282,ORD00358,PROD0019,2,56156,4
ITEM00283,ORD00684,PROD0296,5,19758,42
ITEM00284,ORD00090,PROD0026,1,27525,22
ITEM00285,ORD00166,PROD0345,3,40248,84
ITEM00286,ORD00610,PROD0294,5,11827,58
ITEM00287,ORD00593,PROD0185,1,6303,98
ITEM00288,ORD00307,PROD0166,3,59020,48
ITEM00289,ORD00070,PROD0389,4,55467,70
ITEM00290,ORD00067,PROD0150,4,9017,15
ITEM00291,ORD00282,PROD0169,5,27316,67
ITEM00292,ORD00215,PROD0357,2,40311,7
ITEM00293,ORD00112,PROD0293,5,5945,61
ITEM00294,ORD00620,PROD0479,3,28187,77
ITEM00295,ORD00325,PROD0133,5,37892,79
ITEM00296,ORD00363,PROD0475,2,40458,72
ITEM00297,ORD00509,PROD0267,4,32476,23
ITEM00298,ORD00625,PROD0120,3,12884,0
ITEM00299,ORD00122,PROD0013,4,41190,15
ITEM00300,ORD00213,PROD0410,5,27373,52
ITEM00301,ORD00047,PROD0171,3,36927,81
ITEM00302,ORD00218,PROD0006,2,45420,36
ITEM00303,ORD00261,PROD0405,1,20370,38
ITEM00304,ORD00519,PROD0282,3,50468,0
ITEM00305,ORD00117,PROD0352,3,22571,50
ITEM00306,ORD00583,PROD0316,1,54728,22
ITEM00307,ORD00199,PROD0170,3,44271,61
ITEM00308,ORD00486,PROD0409,1,42513,17
ITEM00309,ORD00494,PROD0080,4,58661,68
ITEM00310,ORD00344,PROD0237,4,48866,7
ITEM00311,ORD00534,PROD0154,5,47711,86
ITEM00312,ORD00324,PROD0285,5,1426,26
ITEM00313,ORD00592,PROD0351,3,52598,45
ITEM00314,ORD00068,PROD0497,2,18580,3
ITEM00315,ORD00348,PROD0193,5,55407,21
ITEM00316,ORD00585,PROD0311,-2,12480,76
ITEM00317,ORD00120,PROD0443,3,46420,40
ITEM00318,ORD00033,PROD0140,4,5888,63
ITEM00319,ORD00244,PROD0191,4,54559,38
ITEM00320,ORD00222,PROD0269,3,11669,14
ITEM00321,ORD00384,PROD0402,1,51173,25
ITEM00322,ORD00095,PROD0228,5,1834,61
ITEM00323,ORD00513,PROD0079,2,22489,61
ITEM00324,ORD00537,PROD0159,3,9590,98
ITEM00325,ORD00101,PROD0421,5,44549,16
ITEM00326,ORD00211,PROD0371,1,30305,49
ITEM00327,ORD00535,PROD0060,1,20580,5
ITEM00328,ORD00609,PROD0447,1,22042,59
ITEM00329,ORD00048,PROD0053,5,50412,84
ITEM00330,ORD00320,PROD0012,5,49908,39
ITEM00331,ORD00655,PROD0457,2,21229,25
ITEM00332,ORD00198,PROD0147,3,35083,40
ITEM00333,ORD00452,PROD0344,1,18068,19
ITEM00334,ORD00162,PROD0141,1,1199,79
ITEM00335,ORD00574,PROD0264,1,13738,69
ITEM00336,ORD00359,PROD0282,3,17963,18
ITEM00337,ORD00291,PROD0294,2,11424,9
ITEM00338,ORD00319,PROD0314,3,35627,56
ITEM00339,ORD00052,PROD0067,1,31050,86
ITEM00340,ORD00052,PROD0055,4,3725,11
ITEM00341,ORD00437,PROD0201,2,46381,76
ITEM00342,ORD00607,PROD0323,4,40590,45
ITEM00343,ORD00320,PROD0171,2,46920,97
ITEM00344,ORD00687,PROD0415,5,5347,96
ITEM00345,ORD00477,PROD0291,2,6289,89
ITEM00346,ORD00480,PROD0050,4,20541,87
ITEM00347,ORD00660,PROD0364,4,31037,29
ITEM00348,ORD00230,PROD0074,5,17111,46
ITEM00349,ORD00402,PROD0094,3,51893,41
ITEM00350,ORD00465,PROD0250,1,4483,60
ITEM00351,ORD00116,PROD0180,4,30427,21
ITEM00352,ORD00290,PROD0394,3,39812,73
ITEM00353,ORD00131,PROD0261,1,26787,91
ITEM00354,ORD00110,PROD0167,5,42762,9
ITEM00355,ORD00310,PROD0273,4,26467,75
ITEM00356,ORD00424,PROD0123,5,16170,70
ITEM00357,ORD00163,PROD0499,4,25353,8
ITEM00358,ORD00349,PROD0107,5,28455,100
ITEM00359,ORD00446,PROD0291,3,35886,88
ITEM00360,ORD00242,PROD0089,1,48655,91
ITEM00361,ORD00588,PROD0429,4,7692,75
ITEM00362,ORD00611,PROD0238,3,36578,12
ITEM00363,ORD00456,PROD0091,3,26794,8
ITEM00364,ORD00613,PROD0056,5,50750,48
ITEM00365,ORD00336,PROD0254,1,6133,27
ITEM00366,ORD00143,PROD0455,5,59395,96
ITEM00367,ORD00652,PROD0415,1,49815,18
ITEM00368,ORD00677,PROD0077,4,35016,37
ITEM00369,ORD00400,PROD0316,5,29505,25
ITEM00370,ORD00211,PROD0349,3,19843,72
ITEM00371,ORD00696,PROD0156,4,47241,44
ITEM00372,ORD00092,PROD0299,1,40274,65
ITEM00373,ORD00414,PROD0434,2,56069,37
ITEM00374,ORD00064,PROD0190,5,3681,0
ITEM00375,ORD00574,PROD0421,3,7389,36
ITEM00376,ORD00032,PROD0121,4,46220,75
ITEM00377,ORD00404,PROD0321,3,46846,48
ITEM00378,ORD00416,PROD0196,4,35924,27
ITEM00379,ORD00679,PROD0089,4,9314,24
ITEM00380,ORD00569,PROD0197,3,55247,53
ITEM00381,ORD00158,PROD0148,2,9000,1
ITEM00382,ORD00074,PROD0332,1,9636,92
ITEM00383,ORD00499,PROD0337,4,9098,10
ITEM00384,ORD00141,PROD0329,4,56570,58
ITEM00385,ORD00619,PROD0477,4,41045,23
ITEM00386,ORD00466,PROD0261,4,36379,57
ITEM00387,ORD00394,PROD0182,2,12376,54
ITEM00388,ORD00620,PROD0004,5,32847,93
ITEM00389,ORD00243,PROD0365,5,17845,52
ITEM00390,ORD00560,PROD0296,3,2392,4
ITEM00391,ORD00582,PROD0248,3,7616,74
ITEM00392,ORD00494,PROD0493,1,9511,93
ITEM00393,ORD00540,PROD0440,3,30670,66
ITEM00394,ORD00081,PROD0268,5,5996,31
ITEM00395,ORD00484,PROD0323,1,45031,81
ITEM00396,ORD00553,PROD0409,-1,20679,78
ITEM00397,ORD00055,PROD0463,3,35263,99
ITEM00398,ORD00012,PROD0241,4,33797,60
ITEM00399,ORD00588,PROD0376,3,27791,45
ITEM00400,ORD00302,PROD0149,2,2515,88
ITEM00401,ORD00612,PROD0384,3,47842,100
ITEM00402,ORD00578,PROD0134,1,41441,60
ITEM00403,ORD00593,PROD0087,5,3582,84
ITEM00404,ORD00299,PROD0415,5,1989,36
ITEM00405,ORD00497,PROD0043,2,33334,9
ITEM00406,ORD00285,PROD0130,2,40556,35
ITEM00407,ORD00282,PROD0440,3,1130,94
ITEM00408,ORD00115,PROD0310,2,59846,75
ITEM00409,ORD00155,PROD0338,4,24433,22
ITEM00410,ORD00268,PROD0401,2,31979,23
ITEM00411,ORD00541,PROD0442,1,22668,10
ITEM00412,ORD00149,PROD0305,2,55093,63
ITEM00413,ORD00423,PROD0395,4,15794,84
ITEM00414,ORD00451,PROD0372,2,14018,73
ITEM00415,ORD00354,PROD0028,3,49711,14
ITEM00416,ORD00054,PROD0086,4,26332,60
ITEM00417,ORD00309,PROD0244,5,15513,48
ITEM00418,ORD00700,PROD0362,4,31302,33
ITEM00419,ORD00149,PROD0272,4,977,36
ITEM00420,ORD00460,PROD0196,3,34950,87
ITEM00421,ORD00043,PROD0050,5,41974,45
ITEM00422,ORD00443,PROD0313,3,22152,34
ITEM00423,ORD00274,PROD0411,1,16934,83
ITEM00424,ORD00599,PROD0201,4,50869,86
ITEM00425,ORD00248,PROD0376,5,50695,24
ITEM00426,ORD00533,PROD0173,2,20730,70
ITEM00427,ORD00011,PROD0345,1,54705,8
ITEM00428,ORD00013,PROD0211,1,34623,13
ITEM00429,ORD00457,PROD0180,2,47730,36
ITEM00430,ORD00258,PROD0099,-5,1753,79
ITEM00431,ORD00095,PROD0030,5,43231,27
ITEM00432,ORD00614,PROD0327,1,46604,15
ITEM00433,ORD00089,PROD0439,5,8713,48
ITEM00434,ORD00673,PROD0392,5,52838,23
ITEM00435,ORD00114,PROD0357,2,16802,37
ITEM00436,ORD00479,PROD0339,1,42063,58
ITEM00437,ORD00284,PROD0394,4,45565,85
ITEM00438,ORD00332,PROD0132,2,51366,9
ITEM00439,ORD00284,PROD0398,1,25287,49
ITEM00440,ORD00341,PROD0031,3,53467,33
ITEM00441,ORD00183,PROD0226,1,32425,25
ITEM00442,ORD00625,PROD0202,2,42502,62
ITEM00443,ORD00112,PROD0074,5,50578,55
ITEM00444,ORD00224,PROD0315,1,29139,91
ITEM00445,ORD00266,PROD0053,1,4978,9
ITEM00446,ORD00586,PROD0373,3,51137,57
ITEM00447,ORD00020,PROD0460,4,9955,83
ITEM00448,ORD00656,PROD0001,1,43755,49
ITEM00449,ORD00273,PROD0078,3,59485,50
ITEM00450,ORD00589,PROD0002,5,46573,98
ITEM00451,ORD00503,PROD0245,4,26670,93
ITEM00452,ORD00072,PROD0277,2,416,49
ITEM00453,ORD00494,PROD0063,5,35281,45
ITEM00454,ORD00342,PROD0350,3,26454,7
ITEM00455,ORD00648,PROD0491,1,24143,68
ITEM00456,ORD00349,PROD0042,4,50037,98
ITEM00457,ORD00297,PROD0332,2,11774,70
ITEM00458,ORD00041,PROD0496,4,43501,24
ITEM00459,ORD00307,PROD0357,4,58950,13
ITEM00460,ORD00646,PROD0353,3,32083,10
ITEM00461,ORD00648,PROD0225,2,9371,4
ITEM00462,ORD00198,PROD0013,5,15829,62
ITEM00463,ORD00399,PROD0033,5,42366,39
ITEM00464,ORD00512,PROD0274,4,1275,4
ITEM00465,ORD00348,PROD0029,3,51827,92
ITEM00466,ORD00044,PROD0208,1,14072,83
ITEM00467,ORD00684,PROD0268,4,44638,68
ITEM00468,ORD00153,PROD0380,5,15468,9
ITEM00469,ORD00038,PROD0377,2,32240,83
ITEM00470,ORD00020,PROD0242,5,3201,31
ITEM00471,ORD00665,PROD0067,1,11488,80
ITEM00472,ORD00052,PROD0464,3,53987,12
ITEM00473,ORD00468,PROD0313,2,54945,75
ITEM00474,ORD00066,PROD0419,1,7682,63
ITEM00475,ORD00610,PROD0410,5,14655,8
ITEM00476,ORD00208,PROD0219,3,53383,94
ITEM00477,ORD00695,PROD0206,3,8116,87
ITEM00478,ORD00590,PROD0280,2,21275,27
ITEM00479,ORD00047,PROD0304,2,22187,8
ITEM00480,ORD00124,PROD0141,2,49846,53
ITEM00481,ORD00173,PROD0357,3,36468,21
ITEM00482,ORD00450,PROD0125,5,2867,17
ITEM00483,ORD00103,PROD0406,5,24850,99
ITEM00484,ORD00162,PROD0009,4,5490,0
ITEM00485,ORD00008,PROD0092,1,46516,83
ITEM00486,ORD00608,PROD0455,3,27477,88
ITEM00487,ORD00488,PROD0355,2,13710,18
ITEM00488,ORD00656,PROD0139,5,29718,52
ITEM00489,ORD00245,PROD0481,2,40212,88
ITEM00490,ORD00039,PROD0306,2,47202,63
ITEM00491,ORD00627,PROD0487,1,41303,100
ITEM00492,ORD00309,PROD0179,4,499,71
ITEM00493,ORD00242,PROD0099,1,34947,12
ITEM00494,ORD00634,PROD0186,5,33462,28
ITEM00495,ORD00476,PROD0395,2,18315,6
ITEM00496,ORD00199,PROD0058,2,45108,60
ITEM00497,ORD00510,PROD0091,2,44118,5
ITEM00498,ORD00056,PROD0331,3,18881,26
ITEM00499,ORD00446,PROD0129,3,40623,97
ITEM00500,ORD00465,PROD0023,1,48723,6
ITEM00501,ORD00551,PROD0091,2,51678,3
ITEM00502,ORD00497,PROD0264,1,4843,30
ITEM00503,ORD00456,PROD0304,5,21562,53
ITEM00504,ORD00204,PROD0383,3,15277,99
ITEM00505,ORD00113,PROD0167,2,6626,30
ITEM00506,ORD00423,PROD0446,2,24810,28
ITEM00507,ORD00076,PROD0242,5,31946,6
ITEM00508,ORD00447,PROD0075,2,40139,58
ITEM00509,ORD00183,PROD0199,3,9139,58
ITEM00510,ORD00199,PROD0324,3,17874,25
ITEM00511,ORD00344,PROD0066,1,45564,72
ITEM00512,ORD00062,PROD0144,2,7481,59
ITEM00513,ORD00470,PROD0215,2,50029,43
ITEM00514,ORD00226,PROD0454,3,39759,20
ITEM00515,ORD00654,PROD0488,5,59547,21
ITEM00516,ORD00592,PROD0497,5,56233,29
ITEM00517,ORD00089,PROD0211,5,32261,27
ITEM00518,ORD00606,PROD0243,4,18495,1
ITEM00519,ORD00439,PROD0377,2,16441,41
ITEM00520,ORD00445,PROD0297,2,58646,75
ITEM00521,ORD00153,PROD0468,5,59067,0
ITEM00522,ORD00428,PROD0023,1,31044,93
ITEM00523,ORD00517,PROD0018,4,35007,50
ITEM00524,ORD00491,PROD0415,1,29851,63
ITEM00525,ORD00247,PROD0043,5,49553,1
ITEM00526,ORD00417,PROD0487,2,8897,45
ITEM00527,ORD00303,PROD0123,1,1243,61
ITEM00528,ORD00686,PROD0157,-4,46291,58
ITEM00529,ORD00585,PROD0383,5,1799,58
ITEM00530,ORD00475,PROD0396,2,57491,90
ITEM00531,ORD00416,PROD0095,3,41278,59
ITEM00532,ORD00649,PROD0001,1,25423,88
ITEM00533,ORD00341,PROD0272,1,19637,54
ITEM00534,ORD00277,PROD0358,5,35749,73
ITEM00535,ORD00213,PROD0404,1,40862,42
ITEM00536,ORD00057,PROD0264,3,58394,6
